Type,Longitude, Latitude
Tulip Tree,"44.21763","-72.38814"
Tulip Tree,"44.2175","-72.3883"
Tulip Tree,"44.21807","-72.3878"
White Oak,"44.21629","-72.3881"
White Oak,"44.21821","-72.38801"
Red Oak,"44.21682","-72.38754"
Hickory,"44.21821","-72.38832"
Apple - Crimson Gold,"44.21681","-72.38757"
Apple - Crimson Gold,"44.21684","-72.38737"
Apple - RdR,"44.2169","-72.38736"
Apple - RdR,"44.21675","-72.38755"
Mount Royal Plum,"44.21658","-72.38804"
Cherry - Sweet Cherry Pie,"44.21656","-72.38799"
Weeping Willow,"44.21681","-72.38851"
Yellow Birch,"44.21644","-72.38794"
Apple - ?,"44.21662","-72.38798"
Apple - Dayton,"44.21668","-72.38803"
Cherry - Cornelian,"44.21671","-72.38809"
Red Currant - Viking,"44.2164","-72.38813"
